"ID" "out_l1_r1_1km" "out_l1_r1_2km" "out_l1_r1_05km" "out_l2_r1_1km" "out_l2_r2_1km" "out_l2_r3_1km" "out_l2_r4_1km" "out_l2_r1_2km" "out_l2_r2_2km" "out_l2_r3_2km" "out_l2_r4_2km" "out_l2_r1_05km" "out_l2_r2_05km" "out_l2_r3_05km" "out_l2_r4_05km" "out_l3_r2_1km" "out_l4_r2_1km" "out_l3_r2_2km" "out_l4_r2_2km" "out_l3_r2_05km" "out_l4_r2_05km" "out_l5_r3_1km" "out_l8_r3_1km" "out_l9_r3_1km" "out_l5_r3_2km" "out_l8_r3_2km" "out_l9_r3_2km" "out_l5_r3_05km" "out_l8_r3_05km" "out_l9_r3_05km" "out_l5_r4_1km" "out_l6_r4_1km" "out_l7_r4_1km" "out_l5_r4_2km" "out_l6_r4_2km" "out_l7_r4_2km" "out_l5_r4_05km" "out_l6_r4_05km" "out_l7_r4_05km" "out_l8_r8_1km" "out_l8_r9_1km" "out_l9_r8_1km" "out_l9_r9_1km" "out_l8_r8_2km" "out_l8_r9_2km" "out_l9_r8_2km" "out_l9_r9_2km" "out_l8_r8_05km" "out_l8_r9_05km" "out_l9_r8_05km" "out_l9_r9_05km" "out_l10_r3_1km" "out_l11_r3_1km" "out_l10_r3_2km" "out_l11_r3_2km" "out_l10_r3_05km" "out_l11_r3_05km" "Long" "Lat" "Source" "Ac_pres" "Ac_pres2" "Ac_absence" "t_area1" "t_area2" "t_area05" "for_area2" "for_area1" "for_area05" "mus_area2" "mus_area1" "mus_area05" "mus_tamanho" "mus_perimetro" "big_distance" "sm_distance" "big_leng2" "big_leng1" "big_leng05" "sm_leng2" "sm_leng1" "sm_leng05" "obs"
"A_A" 244.6269616153 198.071707279 314.4749300774 55.2697182896 56.9822224669 58.5479550017 44.6140459298 46.2934474061 47.8276887599 49.2276374927 35.0858804534 150.6495385316 153.701603447 156.5174571776 142.0642027421 54.8897498125 46.5233380043 44.0534537912 38.2243045638 153.541194153 126.2053190565 62.4886296471 67.2137781728 75.5297385846 52.3847357862 55.5140504141 61.3794019741 171.7439388861 183.7860829298 210.7730137544 47.511462979 48.4620472854 50.8589664423 37.2460491183 37.8287930164 39.6375866955 156.8561773638 164.2695909966 176.5461972494 68.8051853107 68.8069359032 77.2529307141 77.254681113 56.9334138509 56.9374100164 62.9163616458 62.9205328815 186.6506780302 186.6506780302 213.8549472888 213.8549472888 202.7861252151 222.2211043513 167.3681388666 181.9203858486 260.6570325674 285.0210428756 -39.93641975 -18.85040542 "AC_mono" "Yes" 1 0 3174743 12692296 793581 1978421 689123 256717 2952779 949359 188069 60319 1528.32 691.34 80.19 3754.82 1446.43 957.36 58624.84 20520.04 4506.75 "none"
"A_B" 245.0425911223 199.4846807596 315.1306127633 123.4628815534 127.4170500587 130.6811778901 113.9674895464 96.0707970144 99.0232891349 101.4910214744 87.7381042926 194.9723922534 200.940517363 205.9077153515 184.4905673347 124.6438540253 104.576939003 93.0613427484 79.4524409813 200.7006760045 166.6133492286 141.7905665261 150.9314964911 170.7775990734 109.0751726214 115.7542173451 129.4675614002 226.7030708876 239.873583225 273.3585667528 125.8012649749 130.2829759788 141.0460748063 95.7426581346 98.2994014809 105.3752760793 206.3877951339 218.1514913961 238.7377226312 153.8022497872 154.2309827846 173.8361171267 174.2802177989 117.9502366965 118.2232967664 131.7931481362 132.0718191872 244.3638482731 244.931502183 278.1848268574 278.7809550922 218.5744698104 233.4194622361 178.350533919 190.0967221152 286.0169976876 303.25761952 -39.92598655 -18.84950448 "AC_mono" "Yes" 1 0 3174743 12692299 793582 2406347 741065 212091 2836485 853572 254420 204628 3115.36 143.28 83.25 3987.78 1978.38 0 67123.41 19729.79 7144.73 "none"
"A_C" 245.0289496399 160.7569472609 315.1479360871 212.9518873254 216.853668429 220.3863828875 211.5725711504 109.8073197564 112.2527152635 114.4883563474 106.1270412491 309.6975343336 315.1917295894 320.1109161276 309.6975287706 216.8536650902 177.6357778844 108.5268698411 90.7248131429 315.1917294901 257.9223466026 235.2628208831 259.478577482 298.1326390304 119.5491529492 132.6388071991 150.3344947544 346.7974545849 377.1851260341 433.5765480401 227.2812219084 237.7788774882 250.4658825714 111.5814383667 113.7166164247 118.1592407792 337.8009383349 361.0101176883 384.1575453573 263.0919328121 263.0919328121 302.0943853305 302.0943853305 134.9045870425 134.9045870425 152.7803062727 152.7803062727 382.2296820307 382.2296820307 439.1643351436 439.1643351436 244.6242622764 248.3001000219 152.9705872472 158.4994078704 323.8376330518 324.6237636711 -39.91501222 -18.77165542 "AC_mono" "Yes" 1 0 3174814 12692582 793599 2543017 436427 13119 1720087 541894 164207 107791 1405.29 6914.38 53.39 0 0 0 76110.17 17922.36 4391.14 "none"
"M_A" 244.2018824699 160.2711845628 313.8338950693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 126.6559482019 171.427069414 88.1089215387 115.5847151812 167.6307579245 224.5774344481 -40.06529972 -19.15388733 "Plots" "No" 0 1 3174464 12691183 793512 7688392 2720910 718955 483388 145377 48651 32521 848.92 1412.33 255.41 2835.45 0 0 25777.93 5648.45 1285.4 "none"
"M_B" 245.0338839998 192.9974671854 315.1793369829 5.9430855951 7.0149235716 8.0622644036 0 4.808950528 5.570952157 6.2913661849 0 247.2456204317 248.4366158906 249.5248758163 245.5700214263 7.0149235716 6.8620162234 5.570952157 5.3100699875 248.4366158906 200.0312285954 8.1924797357 8.2056707388 8.3203198331 6.5271992688 6.5363910506 6.7325307366 297.8885790672 297.8953655189 346.1438685701 0 0 0 0 0 0 294.6840256826 343.7143778286 392.8287135345 9.2588551617 9.2588551617 9.3958261658 9.3958261658 7.2666198241 7.2666198241 7.5008219663 7.5008219663 299.0060341843 299.0060341843 347.3515806546 347.3515806546 198.8344140539 220.8992540372 135.8489829705 161.2103363302 291.5277801113 302.5234426951 -39.96623386 -19.21295015 "Plots" "No" 0 1 3174410 12690965 793498 9485199 1721711 198253 2551738 1416354 586011 1026822 4496.26 13413.52 134.63 0 0 0 8384.51 2265.12 983.91 "none"
"M_C" 245.0332093141 180.3788533493 315.148289561 53.8335614763 54.600361483 55.3479339246 49.9680833614 1.2398857429 1.4676333879 1.6911453796 0 137.704528748 139.0241831304 140.2846219769 132.6797222223 54.600361483 44.5724605726 1.4676333879 1.4411604722 139.0241831304 112.7178182834 65.3583021699 65.3688051672 75.3669860668 1.713959857 1.7159792906 1.7358400398 166.5569339619 166.5705969916 192.7863402312 59.9603758811 69.8628209069 79.8552932648 0 0 0 159.2156666625 185.6122815887 212.1486592397 66.1207834408 66.1207834408 76.1367797766 76.1367797766 1.9405001892 1.9405001892 1.9642228341 1.9642228341 167.8440711741 167.8440711741 194.1155527541 194.1155527541 172.134598264 202.4361824879 113.1905892291 140.5171119144 244.0327356015 274.1993884714 -39.96942736 -19.21959196 "Plots" "No" 0 1 3174404 12690941 793497 10296385 2100667 477984 2210434 1038104 306281 967053 8166.4 13006.06 79.41 0 0 0 5468.36 2283.2 1062.1 "none"
"M_D" 245.0682479266 163.0430334547 315.2600212921 180.038240205 183.3408086667 186.1693630068 175.8579645164 93.8880247852 95.9784545722 97.7441350545 89.0260698325 287.1121545675 291.4786880893 295.556933174 280.5515420896 182.652441865 149.7342920666 94.7443999458 78.3403380041 291.4786880893 238.0089968386 196.0003420308 219.0804299892 251.6595595281 101.2601205839 114.2648225365 130.5377043011 319.3316328634 348.9280284924 401.9570166484 186.2368272669 193.6276365274 201.1365662972 92.4225513576 94.4119893423 96.8428830807 305.5892000352 326.235915699 345.704636605 221.7641964139 221.9637306603 254.5456363281 254.768453178 115.8921929105 116.0551405506 132.2818962369 132.453523747 353.0694518777 353.0694522517 406.3702628411 406.3702631713 236.9489740206 243.4149715715 153.4568554531 159.45821904 315.4402452397 318.8666802696 -39.86451981 -18.65929294 "M_D" "Yes" 1 0 3174916 12692988 793625 2024705 569201 40863 830587 198207 108800 103480 1400.96 595.96 41.61 6572.33 1609.01 0 63255.31 16041.88 2987.1 "none"
"M_E" 242.9478983908 191.2611887642 311.905658407 175.2342291718 178.138822481 180.8922605103 172.6599548476 98.9109516492 100.9031624728 102.7755914672 94.1490466742 252.982299611 256.8479508716 260.5276875555 249.9708420886 178.138822481 145.7792662149 100.9030952549 82.9407415581 256.8479508716 209.8500034229 207.816498205 213.1997226704 245.3279207975 114.5717932184 120.6964182609 138.4753357797 302.7249192689 307.4617166081 354.1752194374 201.6232471081 226.9392288837 254.7549172901 106.4519371105 116.5493712318 127.4291428849 295.0416838564 335.9208600552 380.1970280915 215.9864537961 215.9864537961 248.2569015902 248.2569015902 122.5952612333 122.5953241322 140.4866733071 140.4867275036 311.1823404861 311.1823404861 358.0709032638 358.0709032638 234.4100309492 241.2048693614 181.5472571629 188.2093196373 305.2445759512 312.0768739838 -39.95050669 -18.62774697 "Plots" "No" 0 1 3174944 12693102 793632 2031472 403170 103284 2652466 1313339 487449 1978173 13430.94 1171.74 55.02 3030.31 0 0 63478.02 13847.19 2878.49 "none"
"M_F" 244.613986208 199.994186369 314.4910092633 141.1023173165 144.0893770129 146.880996284 134.0581110212 92.8490388869 94.9315388771 96.8631674921 84.0482249821 235.545280078 240.3262687882 244.7967855715 228.5836559945 137.1559359818 115.413488972 84.9758675674 73.5958444607 239.5400585204 197.1904418636 160.9560458455 169.3586801879 191.1867383198 104.4244735379 109.1278540124 120.7254173651 277.2041803427 287.1375514086 329.0644025572 148.8447808411 158.9593453555 171.87924607 91.9202639509 96.3661252536 103.158174717 263.432448749 289.4305389372 321.5545023006 172.1751623063 172.1751623063 194.1690336686 194.1690336686 111.0644239465 111.0644239465 122.7789689684 122.7789689684 291.6706920868 291.6706920868 333.8841919448 333.8841919448 231.8059044692 241.0004409727 187.846054604 195.9634937883 305.9916002582 314.2533056117 -39.96913268 -18.85310027 "Plots" "No" 0 1 3174740 12692286 793581 1859400 518687 108649 1835024 766504 363918 573052 5418.45 3343.42 57.29 0 0 0 50554.75 14165.19 3571.43 "mussu_MF=NP"
"M_G" 244.3972511832 161.7034265854 314.090705606 158.5568238566 161.2197806836 163.6759413212 154.5782708772 71.3377097596 72.7599759288 73.9836083974 69.1012441418 254.1772210178 258.8802066402 263.2129777323 252.4445642939 160.3865930982 131.4859896803 72.485376637 59.5483573417 258.7537208542 212.157153356 185.7316254437 192.5848261316 221.2093585445 81.1278119725 86.9156601176 99.732827623 305.0957532038 309.6938568018 355.7294023168 177.5238042073 196.1477432929 217.6783814365 76.4712583169 81.5065125179 88.1924659108 297.8992304453 339.738757563 384.0667005751 195.0828356835 195.0828362163 223.8989751775 223.8989757791 88.0552585633 88.158272154 100.943463886 101.0542446481 314.10788775 314.10788775 360.4919117183 360.4919118483 234.0024916712 241.6886264409 149.4387028449 156.5121738603 307.4911735527 314.6744983326 -39.76437244 -18.4963409 "Plots" "No" 0 1 3175062 12693574 793661 2703967 526185 129063 3603739 1541635 555649 1744185 15885.74 1131.73 71.45 3309.2 0 0 49646.6 11539.02 3485.22 "none"
